post_id,t0_first_corrective_utc,window_hours,high_di_thresh,n_before,n_after,mean_di_before,mean_di_after,max_di_before,max_di_after,high_di_rate_before,high_di_rate_after,delta_mean_di,delta_high_di_rate,nwin_enabled,nwin_N,nwin_n_before,nwin_n_after,nwin_mean_di_before,nwin_mean_di_after,nwin_max_di_before,nwin_max_di_after,nwin_high_di_rate_before,nwin_high_di_rate_after,nwin_delta_mean_di,nwin_delta_high_di_rate
82ac1e18-e33e-47b3-8a2c-8a2663825817,2026-01-31 08:48:38.238576+00:00,12,3,8,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a11d54b8-4deb-4975-aec1-574556ba68a1,2026-01-31 08:48:38.358566+00:00,12,3,0,10,,0.8,,1.0,,0.0,,,1,5,0,5,,1.0,,1.0,,0.0,,
96fb5f97-de92-4b0b-bbe7-0e6dc9aadd36,2026-01-31 08:47:37.278638+00:00,12,3,0,6,,0.0,,0.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
55d5fdd1-a486-47e9-a688-8ca57fc5c5dd,2026-01-31 08:48:02.742097+00:00,12,3,0,0,,,,,,,,,1,5,0,0,,,,,,,,
01f0ca5c-5501-48d8-9fd5-b059bef51435,2026-01-31 08:48:31.941786+00:00,12,3,2,8,0.0,0.75,0.0,1.0,0.0,0.0,0.75,0.0,1,5,2,5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
010a2252-0bc8-4b4a-83f5-7c6baba9d622,2026-01-31 08:48:42.003335+00:00,12,3,8,12,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,1,5,5,5,0.0,0.4,0.0,1.0,0.0,0.0,0.4,0.0
f89c36a4-c70b-4d8d-989a-4496113e503c,2026-01-31 08:48:57.541088+00:00,12,3,2,10,0.0,0.2,0.0,1.0,0.0,0.0,0.2,0.0,1,5,2,5,0.0,0.4,0.0,1.0,0.0,0.0,0.4,0.0
5af26e8a-090f-4857-9f68-142eced0a82e,2026-01-31 08:49:08.657994+00:00,12,3,10,68,0.0,0.029411764705882353,0.0,1.0,0.0,0.0,0.029411764705882353,0.0,1,5,5,5,0.0,0.2,0.0,1.0,0.0,0.0,0.2,0.0
aca49724-3b52-4181-a04c-55c9d7ceaca1,2026-01-31 08:53:48.671962+00:00,12,3,4,0,0.0,,0.0,,0.0,,,,1,5,4,0,0.0,,0.0,,0.0,,,
a370ae7d-85bd-4fc9-81a8-6ea08e4abfd2,2026-01-31 08:55:21.336040+00:00,12,3,2,0,0.0,,0.0,,0.0,,,,1,5,2,0,0.0,,0.0,,0.0,,,
00758160-1f87-451d-a364-4226d0595c1f,2026-01-31 08:47:26.511234+00:00,12,3,0,6,,0.0,,0.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
5173e65f-fe40-43af-b1ce-4837143cc799,2026-01-31 08:47:12.727538+00:00,12,3,0,14,,0.14285714285714285,,1.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
a6f1ba82-1de9-474b-9c0d-79ff6b171b7a,2026-01-31 09:13:25.183959+00:00,12,3,14,0,0.42857142857142855,,1.0,,0.0,,,,1,5,5,0,0.0,,0.0,,0.0,,,
